experiment,grid,full_run,graph,n,edges,reps,angle_seed,graph_seed,ordering,total_span,max_cutwidth,cut_profile,chi_max,chi_label,svd_cutoff,max_bond_final,max_bond_intermediate,mean_bond,max_entropy,mean_entropy,exact_max_entropy,exact_max_bond,exact_entropy_profile,swap_count,routing_distance,discarded_weight,max_discarded_single,norm_factor,infidelity,phase_aligned_error,storage_complex,storage_bytes,runtime_s,svd_time_s,n_svd,status,resource_cap_binding,mps_revision,mps_sha256,mps_version
graph_ordering,full,True,path,16,15,3,7,-1,bfs,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",64,64,1e-14,8,8,6.666666666666667,1.2041896525576083,0.8302273939913165,1.2041896525576083,8,"[0.959472, 1.104937, 1.075061, 1.038167, 0.398571, 0.86361, 0.433059, 0.111395, 0.390878, 0.854026, 1.05406, 1.105897, 1.20419, 1.14009, 0.719999]",0,0,0.0,0.0,1.0,4.440892098500626e-16,3.765894858632837e-15,1448,23168,0.016557204999116948,0.002634497997860308,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,bfs,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-1,untruncated,1e-14,8,8,6.666666666666667,1.2041896525576083,0.8302273939913163,1.2041896525576083,8,"[0.959472, 1.104937, 1.075061, 1.038167, 0.398571, 0.86361, 0.433059, 0.111395, 0.390878, 0.854026, 1.05406, 1.105897, 1.20419, 1.14009, 0.719999]",0,0,0.0,0.0,1.0,4.440892098500626e-16,3.765894858632837e-15,1448,23168,0.014946086001145886,0.00241757300318568,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,rcm,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4,4,1e-14,4,4,3.7333333333333334,1.204187937776931,0.8301734711991824,1.2041896525576088,8,"[0.719999, 1.14009, 1.20419, 1.105897, 1.05406, 0.854026, 0.390878, 0.111395, 0.433059, 0.86361, 0.398571, 1.038167, 1.075061, 1.104937, 0.959472]",0,0,2.2251882889573985e-05,1.2474173221362872e-05,0.9999888740737986,2.2251728616251576e-05,0.00471718691641736,424,6784,0.023447999999916647,0.0025429760080442065,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,rcm,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",8,8,1e-14,8,8,6.666666666666667,1.2041896525576088,0.8302273939913167,1.2041896525576088,8,"[0.719999, 1.14009, 1.20419, 1.105897, 1.05406, 0.854026, 0.390878, 0.111395, 0.433059, 0.86361, 0.398571, 1.038167, 1.075061, 1.104937, 0.959472]",0,0,0.0,0.0,1.0,4.440892098500626e-16,6.5854939716459115e-15,1448,23168,0.021984999999403954,0.002653422003277228,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,rcm,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",16,16,1e-14,8,8,6.666666666666667,1.2041896525576088,0.8302273939913167,1.2041896525576088,8,"[0.719999, 1.14009, 1.20419, 1.105897, 1.05406, 0.854026, 0.390878, 0.111395, 0.433059, 0.86361, 0.398571, 1.038167, 1.075061, 1.104937, 0.959472]",0,0,0.0,0.0,1.0,4.440892098500626e-16,6.5854939716459115e-15,1448,23168,0.02226974400036852,0.0026390810035081813,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,rcm,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",32,32,1e-14,8,8,6.666666666666667,1.2041896525576088,0.8302273939913167,1.2041896525576088,8,"[0.719999, 1.14009, 1.20419, 1.105897, 1.05406, 0.854026, 0.390878, 0.111395, 0.433059, 0.86361, 0.398571, 1.038167, 1.075061, 1.104937, 0.959472]",0,0,0.0,0.0,1.0,4.440892098500626e-16,6.5854939716459115e-15,1448,23168,0.02134832099909545,0.002390955003647832,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,rcm,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",64,64,1e-14,8,8,6.666666666666667,1.2041896525576088,0.8302273939913167,1.2041896525576088,8,"[0.719999, 1.14009, 1.20419, 1.105897, 1.05406, 0.854026, 0.390878, 0.111395, 0.433059, 0.86361, 0.398571, 1.038167, 1.075061, 1.104937, 0.959472]",0,0,0.0,0.0,1.0,4.440892098500626e-16,6.5854939716459115e-15,1448,23168,0.02143337499910558,0.002407053001661552,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,rcm,15,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-1,untruncated,1e-14,8,8,6.666666666666667,1.2041896525576088,0.8302273939913167,1.2041896525576088,8,"[0.719999, 1.14009, 1.20419, 1.105897, 1.05406, 0.854026, 0.390878, 0.111395, 0.433059, 0.86361, 0.398571, 1.038167, 1.075061, 1.104937, 0.959472]",0,0,0.0,0.0,1.0,4.440892098500626e-16,6.5854939716459115e-15,1448,23168,0.022162836999996216,0.002453148999848054,45,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,rand37,65,6,"[2, 2, 4, 6, 6, 6, 6, 6, 5, 5, 5, 5, 3, 3, 1]",4,4,1e-14,4,4,3.7333333333333334,1.6064155481427034,1.0673192120989325,4.084693363781858,256,"[0.437082, 0.943947, 1.809807, 2.785354, 3.587922, 3.8938, 4.084693, 3.615889, 3.651724, 3.665698, 3.508307, 2.936792, 1.96823, 1.267014, 0.719999]",300,150,1.9959663832668315,0.18400287684835587,0.3540837093690992,0.8921851986434687,1.159006779237099,424,6784,0.10964139499992598,0.01889856102752674,345,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,rand37,65,6,"[2, 2, 4, 6, 6, 6, 6, 6, 5, 5, 5, 5, 3, 3, 1]",8,8,1e-14,8,8,6.666666666666667,2.3101798835981437,1.5262031794741298,4.084693363781858,256,"[0.437082, 0.943947, 1.809807, 2.785354, 3.587922, 3.8938, 4.084693, 3.615889, 3.651724, 3.665698, 3.508307, 2.936792, 1.96823, 1.267014, 0.719999]",300,150,1.265389949975343,0.17599358146744265,0.5208602767990399,0.757286763659331,1.0073139022011925,1448,23168,0.13226022600065335,0.035021809992031194,345,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,rand37,65,6,"[2, 2, 4, 6, 6, 6, 6, 6, 5, 5, 5, 5, 3, 3, 1]",16,16,1e-14,16,16,11.466666666666667,3.1442050671326967,2.039814285535158,4.084693363781858,256,"[0.437082, 0.943947, 1.809807, 2.785354, 3.587922, 3.8938, 4.084693, 3.615889, 3.651724, 3.665698, 3.508307, 2.936792, 1.96823, 1.267014, 0.719999]",300,150,0.6050666677572671,0.08541070852591429,0.7357418972815916,0.4159898404376138,0.6867232715580596,4776,76416,0.19479657300144027,0.07537564899394056,345,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,rand37,65,6,"[2, 2, 4, 6, 6, 6, 6, 6, 5, 5, 5, 5, 3, 3, 1]",32,32,1e-14,32,32,18.933333333333334,3.900086408125111,2.4418937764594326,4.084693363781858,256,"[0.437082, 0.943947, 1.809807, 2.785354, 3.587922, 3.8938, 4.084693, 3.615889, 3.651724, 3.665698, 3.508307, 2.936792, 1.96823, 1.267014, 0.719999]",300,150,0.0840659762513965,0.014043933790263266,0.9587159718342049,0.058637535302369925,0.24397395525032992,15016,240256,0.3499706349994085,0.19354544498492032,345,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,rand37,65,6,"[2, 2, 4, 6, 6, 6, 6, 6, 5, 5, 5, 5, 3, 3, 1]",64,64,1e-14,64,64,29.6,4.045707175388799,2.571923992074159,4.084693363781858,256,"[0.437082, 0.943947, 1.809807, 2.785354, 3.587922, 3.8938, 4.084693, 3.615889, 3.651724, 3.665698, 3.508307, 2.936792, 1.96823, 1.267014, 0.719999]",300,150,0.006605649197245293,0.0016076052801698385,0.9967014376485215,0.0050400387361538845,0.07103805520800566,43688,699008,0.8570381089994044,0.5522881339948071,345,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,rand37,65,6,"[2, 2, 4, 6, 6, 6, 6, 6, 5, 5, 5, 5, 3, 3, 1]",-1,untruncated,1e-14,256,256,50.93333333333333,4.084693363781858,2.59175057053439,4.084693363781858,256,"[0.437082, 0.943947, 1.809807, 2.785354, 3.587922, 3.8938, 4.084693, 3.615889, 3.651724, 3.665698, 3.508307, 2.936792, 1.96823, 1.267014, 0.719999]",300,150,1.8280123581222954e-28,3.923222766830264e-29,0.9999999999999997,8.881784197001252e-16,4.1183236357536506e-14,174760,2796160,1.760524830999202,1.1692304960160982,345,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,rand41,74,9,"[2, 2, 2, 4, 4, 6, 8, 7, 9, 8, 6, 6, 4, 4, 2]",4,4,1e-14,4,4,3.7333333333333334,1.6620151503214409,0.9526577413221111,4.0322235700920395,256,"[0.805077, 0.943947, 0.505908, 1.440987, 1.899452, 2.362571, 3.140387, 3.131811, 4.032224, 3.716354, 3.220684, 3.017708, 2.633689, 1.933, 0.985038]",354,177,2.294802034003531,0.24330742202891692,0.2952693957599052,0.9064813738847176,1.1782969468966642,424,6784,0.12747991099968203,0.022876344013639027,399,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,rand41,74,9,"[2, 2, 2, 4, 4, 6, 8, 7, 9, 8, 6, 6, 4, 4, 2]",8,8,1e-14,8,8,6.666666666666667,2.382883040682562,1.4143223496827169,4.0322235700920395,256,"[0.805077, 0.943947, 0.505908, 1.440987, 1.899452, 2.362571, 3.140387, 3.131811, 4.032224, 3.716354, 3.220684, 3.017708, 2.633689, 1.933, 0.985038]",354,177,1.6132680620563435,0.16496545268024526,0.4313241381548982,0.7631844617673639,1.0132749206433016,1448,23168,0.16002523399947677,0.04040418899603537,399,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,rand41,74,9,"[2, 2, 2, 4, 4, 6, 8, 7, 9, 8, 6, 6, 4, 4, 2]",16,16,1e-14,16,16,11.466666666666667,3.0743394784555584,1.7833137210320098,4.0322235700920395,256,"[0.805077, 0.943947, 0.505908, 1.440987, 1.899452, 2.362571, 3.140387, 3.131811, 4.032224, 3.716354, 3.220684, 3.017708, 2.633689, 1.933, 0.985038]",354,177,0.6787922781706568,0.10801794144651691,0.7067393793976805,0.3925931239534378,0.664284393806631,4776,76416,0.22953504999895813,0.09434291499565006,399,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,rand41,74,9,"[2, 2, 2, 4, 4, 6, 8, 7, 9, 8, 6, 6, 4, 4, 2]",32,32,1e-14,32,32,18.933333333333334,3.5400104318011305,2.037525936813606,4.0322235700920395,256,"[0.805077, 0.943947, 0.505908, 1.440987, 1.899452, 2.362571, 3.140387, 3.131811, 4.032224, 3.716354, 3.220684, 3.017708, 2.633689, 1.933, 0.985038]",354,177,0.14589529862932413,0.02815597822142919,0.9292288883181411,0.10830448771001022,0.3337774547630818,15016,240256,0.45128918000045815,0.2554934149939072,399,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
graph_ordering,full,True,path,16,15,3,7,-1,rand41,74,9,"[2, 2, 2, 4, 4, 6, 8, 7, 9, 8, 6, 6, 4, 4, 2]",64,64,1e-14,64,64,29.6,3.918706333989061,2.200635300533074,4.0322235700920395,256,"[0.805077, 0.943947, 0.505908, 1.440987, 1.899452, 2.362571, 3.140387, 3.131811, 4.032224, 3.716354, 3.220684, 3.017708, 2.633689, 1.933, 0.985038]",354,177,0.02014691306429932,0.011963526915249243,0.9899402292509214,0.016006391718247026,0.12677129273774518,43688,699008,1.2076710519995686,0.7830106779874768,399,complete,False,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
