experiment,grid,full_run,circuit,n,depth,angle_seed,ordering,two_qubit_gates,chi_max,chi_label,svd_cutoff,max_bond_final,max_bond_intermediate,mean_bond,max_entropy,mean_entropy,exact_max_entropy,exact_max_bond,discarded_weight,max_discarded_single,norm_factor,infidelity,phase_aligned_error,storage_complex,storage_bytes,runtime_s,svd_time_s,qiskit_time_s,n_svd,swap_count,status,entropy_profile,max_entropy_by_rep,entropy_profile_by_rep,max_bond_by_rep,mps_revision,mps_sha256,mps_version
depth_truncation,full,True,line16,16,2,7,natural,30,16,16,1e-14,4,4,3.7333333333333334,1.2000533714331212,0.6023988304928908,1.2000533714331205,4,1.5781398596249557e-32,9.471180808659401e-33,1.0,-8.881784197001252e-16,4.530837132023345e-15,424,6784,0.01170325299972319,0.0012178709994259407,0.07219084799999109,30,0,complete,"[0.364427, 0.21933, 0.972918, 1.200053, 0.412308, 0.384098, 0.305674, 0.462263, 0.401913, 0.801115, 0.721563, 0.869064, 0.302675, 0.772815, 0.845765]","[0.879314, 1.200053]","[[0.270503, 0.147485, 0.879314, 0.678951, 0.458303, 0.001297, 0.002944, 0.773907, 0.034267, 0.059337, 0.401549, 0.726461, 0.152266, 0.000266, 0.000101], [0.364427, 0.21933, 0.972918, 1.200053, 0.412308, 0.384098, 0.305674, 0.462263, 0.401913, 0.801115, 0.721563, 0.869064, 0.302675, 0.772815, 0.845765]]","[2, 4]",a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
depth_truncation,full,True,line16,16,2,7,natural,30,32,32,1e-14,4,4,3.7333333333333334,1.2000533714331212,0.6023988304928908,1.2000533714331205,4,1.5781398596249557e-32,9.471180808659401e-33,1.0,-8.881784197001252e-16,4.530837132023345e-15,424,6784,0.01221970999995392,0.0012688120023085503,0.07219084799999109,30,0,complete,"[0.364427, 0.21933, 0.972918, 1.200053, 0.412308, 0.384098, 0.305674, 0.462263, 0.401913, 0.801115, 0.721563, 0.869064, 0.302675, 0.772815, 0.845765]","[0.879314, 1.200053]","[[0.270503, 0.147485, 0.879314, 0.678951, 0.458303, 0.001297, 0.002944, 0.773907, 0.034267, 0.059337, 0.401549, 0.726461, 0.152266, 0.000266, 0.000101], [0.364427, 0.21933, 0.972918, 1.200053, 0.412308, 0.384098, 0.305674, 0.462263, 0.401913, 0.801115, 0.721563, 0.869064, 0.302675, 0.772815, 0.845765]]","[2, 4]",a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
depth_truncation,full,True,line16,16,2,7,natural,30,64,64,1e-14,4,4,3.7333333333333334,1.2000533714331212,0.6023988304928908,1.2000533714331205,4,1.5781398596249557e-32,9.471180808659401e-33,1.0,-8.881784197001252e-16,4.530837132023345e-15,424,6784,0.01231756699962716,0.0014796719997320906,0.07219084799999109,30,0,complete,"[0.364427, 0.21933, 0.972918, 1.200053, 0.412308, 0.384098, 0.305674, 0.462263, 0.401913, 0.801115, 0.721563, 0.869064, 0.302675, 0.772815, 0.845765]","[0.879314, 1.200053]","[[0.270503, 0.147485, 0.879314, 0.678951, 0.458303, 0.001297, 0.002944, 0.773907, 0.034267, 0.059337, 0.401549, 0.726461, 0.152266, 0.000266, 0.000101], [0.364427, 0.21933, 0.972918, 1.200053, 0.412308, 0.384098, 0.305674, 0.462263, 0.401913, 0.801115, 0.721563, 0.869064, 0.302675, 0.772815, 0.845765]]","[2, 4]",a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
depth_truncation,full,True,line16,16,2,7,natural,30,-1,untruncated,1e-14,4,4,3.7333333333333334,1.2000533714331203,0.6023988304928906,1.2000533714331205,4,1.4397048977055176e-32,9.471180808659401e-33,1.0,-8.881784197001252e-16,2.5872388018762986e-15,424,6784,0.01776324399997975,0.0013544170014938572,0.07219084799999109,30,0,complete,"[0.364427, 0.21933, 0.972918, 1.200053, 0.412308, 0.384098, 0.305674, 0.462263, 0.401913, 0.801115, 0.721563, 0.869064, 0.302675, 0.772815, 0.845765]","[0.879314, 1.200053]","[[0.270503, 0.147485, 0.879314, 0.678951, 0.458303, 0.001297, 0.002944, 0.773907, 0.034267, 0.059337, 0.401549, 0.726461, 0.152266, 0.000266, 0.000101], [0.364427, 0.21933, 0.972918, 1.200053, 0.412308, 0.384098, 0.305674, 0.462263, 0.401913, 0.801115, 0.721563, 0.869064, 0.302675, 0.772815, 0.845765]]","[2, 4]",a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
depth_truncation,full,True,line16,16,4,7,natural,60,2,2,1e-14,2,2,2.0,0.9723135150483633,0.6687275138745129,1.428488787545392,16,0.5620754926168213,0.11669726932578142,0.7488356847973797,0.44851605008378703,0.7174682521168807,120,1920,0.025185393999890948,0.0023864169997978024,0.15019442400080152,60,0,complete,"[0.910496, 0.866352, 0.972314, 0.923933, 0.210971, 0.717157, 0.339736, 0.305385, 0.322577, 0.668875, 0.806048, 0.760773, 0.722056, 0.916577, 0.587664]","[0.879314, 1.200053, 1.302959, 1.428489]","[[0.270503, 0.147485, 0.879314, 0.678951, 0.458303, 0.001297, 0.002944, 0.773907, 0.034267, 0.059337, 0.401549, 0.726461, 0.152266, 0.000266, 0.000101], [0.364427, 0.21933, 0.972918, 1.200053, 0.412308, 0.384098, 0.305674, 0.462263, 0.401913, 0.801115, 0.721563, 0.869064, 0.302675, 0.772815, 0.845765], [0.96176, 0.851823, 1.078434, 1.163943, 0.471628, 0.584324, 0.827698, 0.366815, 0.670187, 0.853032, 1.302959, 0.78052, 0.967713, 0.848355, 0.945578], [0.942577, 1.373022, 1.327555, 1.182122, 0.616176, 0.831696, 0.495061, 0.604755, 0.869781, 1.298298, 1.212213, 1.428489, 1.093563, 1.228767, 0.690973]]","[2, 4, 8, 16]",a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
depth_truncation,full,True,line16,16,4,7,natural,60,4,4,1e-14,4,4,3.7333333333333334,1.3883473593364288,0.9878786974062498,1.428488787545392,16,0.015427034848802737,0.0029518196315868467,0.9923081264321881,0.015249429522955715,0.12372555653974224,424,6784,0.02723830499962787,0.0031228060042849393,0.15019442400080152,60,0,complete,"[0.942323, 1.368699, 1.305044, 1.156588, 0.602555, 0.819716, 0.475814, 0.571977, 0.82269, 1.249977, 1.173971, 1.388347, 1.046865, 1.209193, 0.684421]","[0.879314, 1.200053, 1.302959, 1.428489]","[[0.270503, 0.147485, 0.879314, 0.678951, 0.458303, 0.001297, 0.002944, 0.773907, 0.034267, 0.059337, 0.401549, 0.726461, 0.152266, 0.000266, 0.000101], [0.364427, 0.21933, 0.972918, 1.200053, 0.412308, 0.384098, 0.305674, 0.462263, 0.401913, 0.801115, 0.721563, 0.869064, 0.302675, 0.772815, 0.845765], [0.96176, 0.851823, 1.078434, 1.163943, 0.471628, 0.584324, 0.827698, 0.366815, 0.670187, 0.853032, 1.302959, 0.78052, 0.967713, 0.848355, 0.945578], [0.942577, 1.373022, 1.327555, 1.182122, 0.616176, 0.831696, 0.495061, 0.604755, 0.869781, 1.298298, 1.212213, 1.428489, 1.093563, 1.228767, 0.690973]]","[2, 4, 8, 16]",a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
depth_truncation,full,True,line16,16,4,7,natural,60,8,8,1e-14,8,8,6.666666666666667,1.4284887043721182,1.013002252890634,1.428488787545392,16,2.085399160587865e-07,9.326639965318453e-08,0.9999998957300436,2.083045937961714e-07,0.0004564039909306303,1448,23168,0.030372078999789665,0.004255786997418909,0.15019442400080152,60,0,complete,"[0.942577, 1.373022, 1.327555, 1.182121, 0.616173, 0.831693, 0.495058, 0.604753, 0.86978, 1.298298, 1.212213, 1.428489, 1.093563, 1.228767, 0.690973]","[0.879314, 1.200053, 1.302959, 1.428489]","[[0.270503, 0.147485, 0.879314, 0.678951, 0.458303, 0.001297, 0.002944, 0.773907, 0.034267, 0.059337, 0.401549, 0.726461, 0.152266, 0.000266, 0.000101], [0.364427, 0.21933, 0.972918, 1.200053, 0.412308, 0.384098, 0.305674, 0.462263, 0.401913, 0.801115, 0.721563, 0.869064, 0.302675, 0.772815, 0.845765], [0.96176, 0.851823, 1.078434, 1.163943, 0.471628, 0.584324, 0.827698, 0.366815, 0.670187, 0.853032, 1.302959, 0.78052, 0.967713, 0.848355, 0.945578], [0.942577, 1.373022, 1.327555, 1.182122, 0.616176, 0.831696, 0.495061, 0.604755, 0.869781, 1.298298, 1.212213, 1.428489, 1.093563, 1.228767, 0.690973]]","[2, 4, 8, 16]",a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
depth_truncation,full,True,line16,16,4,7,natural,60,16,16,1e-14,16,16,11.466666666666667,1.4284887875453922,1.0130032064596675,1.428488787545392,16,2.236457403466672e-31,1.0702112570025794e-31,1.0,2.6645352591003757e-15,9.502540402196765e-15,4776,76416,0.0313839119999102,0.005135334999067709,0.15019442400080152,60,0,complete,"[0.942577, 1.373022, 1.327555, 1.182122, 0.616176, 0.831696, 0.495061, 0.604755, 0.869781, 1.298298, 1.212213, 1.428489, 1.093563, 1.228767, 0.690973]","[0.879314, 1.200053, 1.302959, 1.428489]","[[0.270503, 0.147485, 0.879314, 0.678951, 0.458303, 0.001297, 0.002944, 0.773907, 0.034267, 0.059337, 0.401549, 0.726461, 0.152266, 0.000266, 0.000101], [0.364427, 0.21933, 0.972918, 1.200053, 0.412308, 0.384098, 0.305674, 0.462263, 0.401913, 0.801115, 0.721563, 0.869064, 0.302675, 0.772815, 0.845765], [0.96176, 0.851823, 1.078434, 1.163943, 0.471628, 0.584324, 0.827698, 0.366815, 0.670187, 0.853032, 1.302959, 0.78052, 0.967713, 0.848355, 0.945578], [0.942577, 1.373022, 1.327555, 1.182122, 0.616176, 0.831696, 0.495061, 0.604755, 0.869781, 1.298298, 1.212213, 1.428489, 1.093563, 1.228767, 0.690973]]","[2, 4, 8, 16]",a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
depth_truncation,full,True,line16,16,4,7,natural,60,32,32,1e-14,16,16,11.466666666666667,1.4284887875453922,1.0130032064596675,1.428488787545392,16,2.236457403466672e-31,1.0702112570025794e-31,1.0,2.6645352591003757e-15,9.502540402196765e-15,4776,76416,0.030099038000116707,0.004649820001759508,0.15019442400080152,60,0,complete,"[0.942577, 1.373022, 1.327555, 1.182122, 0.616176, 0.831696, 0.495061, 0.604755, 0.869781, 1.298298, 1.212213, 1.428489, 1.093563, 1.228767, 0.690973]","[0.879314, 1.200053, 1.302959, 1.428489]","[[0.270503, 0.147485, 0.879314, 0.678951, 0.458303, 0.001297, 0.002944, 0.773907, 0.034267, 0.059337, 0.401549, 0.726461, 0.152266, 0.000266, 0.000101], [0.364427, 0.21933, 0.972918, 1.200053, 0.412308, 0.384098, 0.305674, 0.462263, 0.401913, 0.801115, 0.721563, 0.869064, 0.302675, 0.772815, 0.845765], [0.96176, 0.851823, 1.078434, 1.163943, 0.471628, 0.584324, 0.827698, 0.366815, 0.670187, 0.853032, 1.302959, 0.78052, 0.967713, 0.848355, 0.945578], [0.942577, 1.373022, 1.327555, 1.182122, 0.616176, 0.831696, 0.495061, 0.604755, 0.869781, 1.298298, 1.212213, 1.428489, 1.093563, 1.228767, 0.690973]]","[2, 4, 8, 16]",a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
depth_truncation,full,True,line16,16,4,7,natural,60,64,64,1e-14,16,16,11.466666666666667,1.4284887875453922,1.0130032064596675,1.428488787545392,16,2.236457403466672e-31,1.0702112570025794e-31,1.0,2.6645352591003757e-15,9.502540402196765e-15,4776,76416,0.029556416000559693,0.004680040000494046,0.15019442400080152,60,0,complete,"[0.942577, 1.373022, 1.327555, 1.182122, 0.616176, 0.831696, 0.495061, 0.604755, 0.869781, 1.298298, 1.212213, 1.428489, 1.093563, 1.228767, 0.690973]","[0.879314, 1.200053, 1.302959, 1.428489]","[[0.270503, 0.147485, 0.879314, 0.678951, 0.458303, 0.001297, 0.002944, 0.773907, 0.034267, 0.059337, 0.401549, 0.726461, 0.152266, 0.000266, 0.000101], [0.364427, 0.21933, 0.972918, 1.200053, 0.412308, 0.384098, 0.305674, 0.462263, 0.401913, 0.801115, 0.721563, 0.869064, 0.302675, 0.772815, 0.845765], [0.96176, 0.851823, 1.078434, 1.163943, 0.471628, 0.584324, 0.827698, 0.366815, 0.670187, 0.853032, 1.302959, 0.78052, 0.967713, 0.848355, 0.945578], [0.942577, 1.373022, 1.327555, 1.182122, 0.616176, 0.831696, 0.495061, 0.604755, 0.869781, 1.298298, 1.212213, 1.428489, 1.093563, 1.228767, 0.690973]]","[2, 4, 8, 16]",a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
